ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 20:23:27]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 20:49:04]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 20:49:18]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 20:49:44]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 20:50:01]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 20:50:12]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 20:50:34]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 20:50:47]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 20:50:57]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 20:51:15]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 21:36:09]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 21:36:31]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 21:36:55]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 21:37:05]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=4], TriggeredOn=2024-06-20 21:37:28]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 16:36:49]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 16:37:07]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 16:37:17]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 16:37:56]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 16:38:06]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 16:38:32]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 16:38:44]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 16:54:27]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 16:54:42]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 16:54:58]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 17:52:04]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 17:52:18]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 17:52:34]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 17:52:45]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 17:53:13]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 18:50:36]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 18:50:52]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 18:53:59]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 18:54:09]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 18:54:19]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 18:54:35]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 18:54:46]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 18:55:04]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 19:08:33]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 19:08:45]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 19:08:57]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 19:09:10]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 19:09:30]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 19:09:48]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 19:10:02]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 19:10:18]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-21 19:11:01]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:31:32]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:31:42]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:32:01]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:32:28]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:32:38]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:33:08]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:33:21]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:33:34]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:33:47]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:34:01]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:34:18]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:34:31]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:34:48]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:35:55]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:36:09]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:36:36]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:36:50]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:37:19]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:37:38]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:37:57]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:38:28]
ActivatedAlarm [Id=0, Alarm=Alarm [PriorityType=LOW, Priority=1, Threshold=20], TriggeredOn=2024-06-22 09:38:43]
Alarmantan - -45.6412146778969 - LOW [6/22/2024 10:01:59 AM]
Alarmantan - -34.8178188245827 - LOW [6/22/2024 10:02:30 AM]
